date,value_raw,value_pc1
1946-01-01,,
1946-04-01,,
1946-07-01,,
1946-10-01,,
1947-01-01,243.164,
1947-04-01,245.968,
1947-07-01,249.585,
1947-10-01,259.745,
1948-01-01,265.742,9.28509
1948-04-01,272.567,10.81401
1948-07-01,279.196,11.86409
1948-10-01,280.366,7.93894
1949-01-01,275.034,3.49662
1949-04-01,271.351,-0.44613
1949-07-01,272.889,-2.25899
1949-10-01,270.627,-3.47367
1950-01-01,280.828,2.10665
1950-04-01,290.383,7.01379
1950-07-01,308.153,12.92247
1950-10-01,319.945,18.22361
1951-01-01,336.0,19.64619
1951-04-01,344.09,18.49523
1951-07-01,351.385,14.02939
1951-10-01,356.178,11.32476
1952-01-01,359.82,7.08929
1952-04-01,361.03,4.92313
1952-07-01,367.701,4.64334
1952-10-01,380.812,6.9162
1953-01-01,387.98,7.82614
1953-04-01,391.749,8.50871
1953-07-01,391.171,6.3829
1953-10-01,385.97,1.35447
1954-01-01,385.345,-0.67916
1954-04-01,386.121,-1.43663
1954-07-01,390.996,-0.04474
1954-10-01,399.734,3.56608
1955-01-01,413.073,7.19563
1955-04-01,421.532,9.17096
1955-07-01,430.221,10.03207
1955-10-01,437.092,9.34571
1956-01-01,439.746,6.45721
1956-04-01,446.01,5.80691
1956-07-01,451.191,4.87424
1956-10-01,460.463,5.34693
1957-01-01,469.779,6.82962
1957-04-01,472.025,5.83283
1957-07-01,479.49,6.27207
1957-10-01,474.864,3.1275
1958-01-01,467.54,-0.47661
1958-04-01,471.978,-0.00996
1958-07-01,485.841,1.32453
1958-10-01,499.555,5.19959
1959-01-01,510.33,9.15216
1959-04-01,522.653,10.73673
1959-07-01,525.034,8.06704
1959-10-01,528.6,5.81417
1960-01-01,542.648,6.33277
1960-04-01,541.08,3.52567
1960-07-01,545.604,3.91784
1960-10-01,540.197,2.19391
1961-01-01,545.018,0.43675
1961-04-01,555.545,2.67336
1961-07-01,567.664,4.04323
1961-10-01,580.612,7.48153
1962-01-01,594.013,8.98961
1962-04-01,600.366,8.06793
1962-07-01,609.027,7.28653
1962-10-01,612.28,5.45424
1963-01-01,621.672,4.6563
1963-04-01,629.752,4.89468
1963-07-01,644.444,5.81534
1963-10-01,653.938,6.80375
1964-01-01,669.822,7.74524
1964-04-01,678.674,7.76845
1964-07-01,692.031,7.38419
1964-10-01,697.319,6.63381
1965-01-01,717.79,7.16131
1965-04-01,730.191,7.59083
1965-07-01,749.323,8.27882
1965-10-01,771.857,10.68923
1966-01-01,795.734,10.85889
1966-04-01,804.981,10.24253
1966-07-01,819.638,9.3838
1966-10-01,833.302,7.96067
1967-01-01,844.17,6.08696
1967-04-01,848.983,5.46622
1967-07-01,865.233,5.56282
1967-10-01,881.439,5.77666
1968-01-01,909.387,7.72558
1968-04-01,934.344,10.0545
1968-07-01,950.825,9.89236
1968-10-01,968.03,9.82382
1969-01-01,993.337,9.23149
1969-04-01,1009.02,7.99235
1969-07-01,1029.956,8.32235
1969-10-01,1038.147,7.24327
1970-01-01,1051.2,5.82511
1970-04-01,1067.375,5.78333
1970-07-01,1086.059,5.44713
1970-10-01,1088.608,4.86068
1971-01-01,1135.156,7.98668
1971-04-01,1156.271,8.32847
1971-07-01,1177.675,8.43564
1971-10-01,1190.297,9.3412
1972-01-01,1230.609,8.4088
1972-04-01,1266.369,9.52182
1972-07-01,1290.566,9.58592
1972-10-01,1328.904,11.64474
1973-01-01,1377.49,11.93564
1973-04-01,1413.887,11.6489
1973-07-01,1433.838,11.10149
1973-10-01,1476.289,11.09072
1974-01-01,1491.209,8.25552
1974-04-01,1530.056,8.21629
1974-07-01,1560.026,8.80072
1974-10-01,1599.679,8.35812
1975-01-01,1616.116,8.37622
1975-04-01,1651.853,7.9603
1975-07-01,1709.82,9.60202
1975-10-01,1761.831,10.13653
1976-01-01,1820.487,12.64581
1976-04-01,1852.332,12.13661
1976-07-01,1886.558,10.33664
1976-10-01,1934.273,9.78766
1977-01-01,1988.648,9.23714
1977-04-01,2055.909,10.99031
1977-07-01,2118.473,12.29302
1977-10-01,2164.27,11.89062
1978-01-01,2202.76,10.76671
1978-04-01,2331.633,13.41129
1978-07-01,2395.053,13.05563
1978-10-01,2476.949,14.44732
1979-01-01,2526.61,14.70201
1979-04-01,2591.247,11.13443
1979-07-01,2667.565,11.37812
1979-10-01,2723.883,9.96928
1980-01-01,2789.842,10.41839
1980-04-01,2797.352,7.95389
1980-07-01,2856.483,7.08204
1980-10-01,2985.557,9.60665
1981-01-01,3124.206,11.98505
1981-04-01,3162.532,13.05449
1981-07-01,3260.609,14.14768
1981-10-01,3280.818,9.88965
1982-01-01,3274.302,4.80429
1982-04-01,3331.972,5.35773
1982-07-01,3366.322,3.24212
1982-10-01,3402.561,3.71075
1983-01-01,3473.413,6.08102
1983-04-01,3578.848,7.40931
1983-07-01,3689.179,9.59079
1983-10-01,3794.706,11.525
1984-01-01,3908.054,12.51337
1984-04-01,4009.601,12.03608
1984-07-01,4084.25,10.70891
1984-10-01,4148.551,9.3247
1985-01-01,4230.168,8.24231
1985-04-01,4294.887,7.11507
1985-07-01,4386.773,7.40706
1985-10-01,4444.094,7.12401
1986-01-01,4507.894,6.56537
1986-04-01,4545.34,5.83142
1986-07-01,4607.669,5.0355
1986-10-01,4657.627,4.80487
1987-01-01,4722.156,4.75304
1987-04-01,4806.16,5.73818
1987-07-01,4884.555,6.00924
1987-10-01,5007.994,7.52244
1988-01-01,5073.372,7.43762
1988-04-01,5190.036,7.98717
1988-07-01,5282.835,8.15386
1988-10-01,5399.509,7.8178
1989-01-01,5511.253,8.63097
1989-04-01,5612.463,8.13919
1989-07-01,5695.365,7.80888
1989-10-01,5747.237,6.43999
1990-01-01,5872.701,6.55836
1990-04-01,5960.028,6.19274
1990-07-01,6015.116,5.61423
1990-10-01,6004.733,4.48034
1991-01-01,6035.178,2.76665
1991-04-01,6126.862,2.79922
1991-07-01,6205.937,3.17236
1991-10-01,6264.54,4.3267
1992-01-01,6363.102,5.43354
1992-04-01,6470.763,5.613
1992-07-01,6566.641,5.81224
1992-10-01,6680.803,6.64475
1993-01-01,6729.459,5.75752
1993-04-01,6808.939,5.22622
1993-07-01,6882.098,4.80393
1993-10-01,7013.738,4.98346
1994-01-01,7115.652,5.73884
1994-04-01,7246.931,6.4326
1994-07-01,7331.075,6.52384
1994-10-01,7455.288,6.2955
1995-01-01,7522.289,5.71468
1995-04-01,7580.997,4.60976
1995-07-01,7683.125,4.80216
1995-10-01,7772.586,4.25601
1996-01-01,7868.468,4.60204
1996-04-01,8032.84,5.96021
1996-07-01,8131.408,5.83464
1996-10-01,8259.771,6.26799
1997-01-01,8362.655,6.2806
1997-04-01,8518.825,6.04998
1997-07-01,8662.823,6.53534
1997-10-01,8765.907,6.12772
1998-01-01,8866.48,6.0247
1998-04-01,8969.699,5.29268
1998-07-01,9121.097,5.29012
1998-10-01,9293.991,6.02429
1999-01-01,9411.682,6.14902
1999-04-01,9526.21,6.20434
1999-07-01,9686.626,6.20023
1999-10-01,9900.169,6.52226
2000-01-01,10002.179,6.27409
2000-04-01,10247.72,7.57395
2000-07-01,10318.165,6.5197
2000-10-01,10435.744,5.40976
2001-01-01,10470.231,4.6795
2001-04-01,10599.0,3.42788
2001-07-01,10598.02,2.71226
2001-10-01,10660.465,2.15338
2002-01-01,10783.5,2.992
2002-04-01,10887.46,2.72158
2002-07-01,10984.04,3.64238
2002-10-01,11061.433,3.76126
2003-01-01,11174.129,3.62247
2003-04-01,11312.766,3.90638
2003-07-01,11566.669,5.30432
2003-10-01,11772.234,6.42594
2004-01-01,11923.447,6.70583
2004-04-01,12112.815,7.07209
2004-07-01,12305.307,6.38592
2004-10-01,12527.214,6.41323
2005-01-01,12767.286,7.07714
2005-04-01,12922.656,6.68582
2005-07-01,13142.642,6.80467
2005-10-01,13324.204,6.36207
2006-01-01,13599.16,6.51567
2006-04-01,13753.424,6.42877
2006-07-01,13870.188,5.53577
2006-10-01,14039.56,5.36885
2007-01-01,14215.651,4.5333
2007-04-01,14402.082,4.71634
2007-07-01,14564.117,5.00303
2007-10-01,14715.058,4.81139
2008-01-01,14706.538,3.45314
2008-04-01,14865.701,3.21911
2008-07-01,14898.999,2.29936
2008-10-01,14608.209,-0.72612
2009-01-01,14430.902,-1.87424
2009-04-01,14381.236,-3.25894
2009-07-01,14448.882,-3.02112
2009-10-01,14651.249,0.29463
2010-01-01,14764.61,2.31245
2010-04-01,14980.193,4.16485
