symbol,reportDate,date,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,balance_date,balance_symbol,balance_reportedCurrency,balance_cik,balance_fillingDate,balance_acceptedDate,balance_calendarYear,balance_period,balance_cashAndCashEquivalents,balance_shortTermInvestments,balance_cashAndShortTermInvestments,balance_netReceivables,balance_inventory,balance_otherCurrentAssets,balance_totalCurrentAssets,balance_propertyPlantEquipmentNet,balance_goodwill,balance_intangibleAssets,balance_goodwillAndIntangibleAssets,balance_longTermInvestments,balance_taxAssets,balance_otherNonCurrentAssets,balance_totalNonCurrentAssets,balance_otherAssets,balance_totalAssets,balance_accountPayables,balance_shortTermDebt,balance_taxPayables,balance_deferredRevenue,balance_otherCurrentLiabilities,balance_totalCurrentLiabilities,balance_longTermDebt,balance_deferredRevenueNonCurrent,balance_deferredTaxLiabilitiesNonCurrent,balance_otherNonCurrentLiabilities,balance_totalNonCurrentLiabilities,balance_otherLiabilities,balance_capitalLeaseObligations,balance_totalLiabilities,balance_preferredStock,balance_commonStock,balance_retainedEarnings,balance_accumulatedOtherComprehensiveIncomeLoss,balance_othertotalStockholdersEquity,balance_totalStockholdersEquity,balance_totalEquity,balance_totalLiabilitiesAndStockholdersEquity,balance_minorityInterest,balance_totalLiabilitiesAndTotalEquity,balance_totalInvestments,balance_totalDebt,balance_netDebt,balance_link,balance_finalLink,cashflow_date,cashflow_symbol,cashflow_reportedCurrency,cashflow_cik,cashflow_fillingDate,cashflow_acceptedDate,cashflow_calendarYear,cashflow_period,cashflow_netIncome,cashflow_depreciationAndAmortization,cashflow_deferredIncomeTax,cashflow_stockBasedCompensation,cashflow_changeInWorkingCapital,cashflow_accountsReceivables,cashflow_inventory,cashflow_accountsPayables,cashflow_otherWorkingCapital,cashflow_otherNonCashItems,cashflow_netCashProvidedByOperatingActivities,cashflow_investmentsInPropertyPlantAndEquipment,cashflow_acquisitionsNet,cashflow_purchasesOfInvestments,cashflow_salesMaturitiesOfInvestments,cashflow_otherInvestingActivites,cashflow_netCashUsedForInvestingActivites,cashflow_debtRepayment,cashflow_commonStockIssued,cashflow_commonStockRepurchased,cashflow_dividendsPaid,cashflow_otherFinancingActivites,cashflow_netCashUsedProvidedByFinancingActivities,cashflow_effectOfForexChangesOnCash,cashflow_netChangeInCash,cashflow_cashAtEndOfPeriod,cashflow_cashAtBeginningOfPeriod,cashflow_operatingCashFlow,cashflow_capitalExpenditure,cashflow_freeCashFlow,cashflow_link,cashflow_finalLink
ADP,2024-06-30,2024-06-30,USD,0000008670,2024-08-07,2024-08-07 15:06:59,2024,FY,19202600000,10476700000,8725900000,0.4544124233,955700000,0,0,3778900000,0,4204399999,14210199999,1266000000,361400000,561900000,5800000000,0.3020424318,4977200000,0.2591940675,-104900000,4872300000,0.2537312656,1120300000,3752000000,0.1953902076,9.14,9.1,410600000,412200000,https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/0000008670-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/adp-20240630.htm,2024-06-30,ADP,USD,0000008670,2024-08-07,2024-08-07 15:06:59,2024,FY,2913400000,0,2913400000,3428200000,0,39200900000,45542500000,1056200000,2353600000,1336000000,3689600000,0,0,4074400000,8820200000,0,54362700000,100600000,478700000,15100000,199800000,44285800000,45080000000,3319900000,360100000,64300000,990799999,4735099999,1,328600000,49815100000,0,63900000,23622200000,-1808300000,-17330200000,4547600000,4547600000,54362700000,0,54362700000,7300000,3705300000,791900000,https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/0000008670-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/adp-20240630.htm,2024-06-30,ADP,USD,0000008670,2024-08-07,2024-08-07 15:06:59,2024,FY,3752000000,561900000,-37400000,243500000,-1417400000,0,0,1800000,-1419200000,1055000000,4157600000,-563400000,0,-6835300000,6039500000,-29800000,-1389000000,921800000,0,-1231700000,-2183100000,1061300000,-1431700000,-22400000,1314500000,10086000000,8771500000,4157600000,-563400000,3594200000,https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/0000008670-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/adp-20240630.htm
AZO,2024-08-31,2024-08-31,USD,0000866787,2024-10-28,2024-10-28 16:54:30,2024,FY,18490268000,8673216000,9817052000,0.5309307577,0,0,0,6028344000,0,6028344000,14701560000,11312000,462890000,549755000,4347475000,0.2351223357,3788708000,0.204902817,-451578000,3337130000,0.1804803478,674703000,2662427000,0.1439907199,153.82,149.55,17309000,17803000,https://www.sec.gov/Archives/edgar/data/866787/000155837024013758/0001558370-24-013758-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837024013758/azo-20240831x10k.htm,2024-08-31,AZO,USD,0000866787,2024-10-28,2024-10-28 16:54:30,2024,FY,298172000,0,298172000,545575000,6155218000,307794000,7306759000,9241319000,302645000,0,302645000,0,83689000,242126000,9869779000,0,17176538000,7355701000,382414000,221258000,0,754870000,8714243000,11984555000,0,447067000,780287000,13211909000,0,3342588000,21926152000,0,175000,-4424982000,-361618000,36811000,-4749614000,-4749614000,17176538000,0,17176538000,122158000,12366969000,12068797000,https://www.sec.gov/Archives/edgar/data/866787/000155837024013758/0001558370-24-013758-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837024013758/azo-20240831x10k.htm,2024-08-31,AZO,USD,0000866787,2024-10-28,2024-10-28 16:54:30,2024,FY,2662427000,549755000,-254393000,106246000,-31907000,0,0,244134000,-276041000,-28012000,3004116000,-1072696000,0,-266250999,40849000,11591999,-1286506000,1285142000,176236000,-3140917000,0,-4197000,-1683736000,-12756000,21118000,298172000,277054000,3004116000,-1072696000,1931420000,https://www.sec.gov/Archives/edgar/data/866787/000155837024013758/0001558370-24-013758-index.htm,https://www.sec.gov/Archives/edgar/data/866787/000155837024013758/azo-20240831x10k.htm
AVB,2024-12-31,2024-12-31,USD,0000915912,2025-02-27,2025-02-27 15:35:29,2024,FY,2913757000,0,2913757000,1.0,0,77697000,0,77697000,668149000,745846000,745846000,0,226589000,846853000,2156062000,0.7399594407,2167911000,0.7440260118,-1085291000,1082620000,0.3715546629,-445000,1081994000,0.37133982,7.61,7.6,142000934,142458604,https://www.sec.gov/Archives/edgar/data/915912/000091591225000005/0000915912-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/915912/000091591225000005/avb-20241231.htm,2024-12-31,AVB,USD,0000915912,2025-02-27,2025-02-27 15:35:29,2024,FY,108576000,0,108576000,0,0,158500000,267076000,154654000,0,0,0,227320000,0,20351687000,20733661000,0,21000737000,85954000,0,0,0,660331000,746285000,8250531000,0,0,62829000,8313360000,0,173282000,9059645000,0,1422000,0,34304000,11905366000,11941092000,11941092000,21000737000,0,21000737000,227320000,8250531000,8141955000,https://www.sec.gov/Archives/edgar/data/915912/000091591225000005/0000915912-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/915912/000091591225000005/avb-20241231.htm,2024-12-31,AVB,USD,0000915912,2025-02-27,2025-02-27 15:35:29,2024,FY,1082175000,846853000,0,25373000,6764000,0,0,0,6764000,-353287000,1607878000,0,0,0,11178000,-1008042000,-996864000,88995000,10535000,0,-961914000,-12514000,-874898000,0,-263884000,267076000,530960000,1607878000,0,1607878000,https://www.sec.gov/Archives/edgar/data/915912/000091591225000005/0000915912-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/915912/000091591225000005/avb-20241231.htm
AVY,2024-12-28,2024-12-28,USD,0000008818,2025-02-26,2025-02-26 13:36:51,2024,FY,8755700000,6225000000,2530700000,0.2890345718,0,0,0,1415300000,0,1415300000,7640300000,0,117000000,312200000,1427600000,0.1630480715,1115400000,0.1273912994,-161900000,953500000,0.1089004877,248600000,704900000,0.0805075551,8.73,8.73,80700000,80700000,https://www.sec.gov/Archives/edgar/data/8818/000000881825000003/0000008818-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881825000003/avy-20241228.htm,2024-12-28,AVY,USD,0000008818,2024-12-28,2024-12-28 00:00:00,2024,FY,329100000,0,329100000,1466200000,978100000,305300000,3078700000,1586700000,0,2731500000,2731500000,0,109300000,898900000,5326400000,0,8405100000,1340700000,592300000,0,0,929600000,2862600000,2559900000,0,0,663700000,3223600000,0,0,6086200000,0,124100000,5151200000,-449499999,-2506900000,2318900000,2318900000,8405100000,0,8405100000,0,3152200000,2823100000,https://www.sec.gov/Archives/edgar/data/8818/000000881825000003/0000008818-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881825000003/avy-20241228.htm,2024-12-28,AVY,USD,0000008818,2025-02-26,2025-02-26 13:36:51,2024,FY,704900000,197100000,0,28700000,-203100000,0,0,0,-203100000,211200000,938800000,-208800000,-3800000,-24100000,24000000,-30400000,-243100000,-37900000,0,-255900000,-277500000,-4800000,-576100000,-5500000,114100000,329100000,215000000,938800000,-208800000,730000000,https://www.sec.gov/Archives/edgar/data/8818/000000881825000003/0000008818-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881825000003/avy-20241228.htm
AXON,2024-12-31,2024-12-31,USD,0001069183,2025-02-28,2025-02-28 16:22:06,2024,FY,2082526000,841146000,1241380000,0.5960933981,441593000,632293000,108954000,741247000,0,1182840000,2023986000,43693000,7098000,48425000,437027000,0.2098542827,58540000,0.0281100932,322964000,381504000,0.1831929109,4470000,377034000,0.1810464791,4.98,4.8,75748000,78558000,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000019/0001069183-25-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000019/axon-20241231.htm,2024-12-31,AXON,USD,0001069183,2025-02-28,2025-02-28 16:22:06,2024,FY,454844000,198270000,653114000,915501000,265316000,463550000,2297481000,247324000,756838000,175157000,931995000,332550000,304282000,360956000,2177107000,0,4474588000,71955000,0,27863000,612955000,284813000,997586000,721672000,0,0,427665000,1149337000,0,0,2146923000,0,1000,812014000,-18184000,1533834000,2327665000,2327665000,4474588000,0,4474588000,530820000,721672000,266828000,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000019/0001069183-25-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000019/axon-20241231.htm,2024-12-31,AXON,USD,0001069183,2025-02-28,2025-02-28 16:22:06,2024,FY,377034000,48425000,-85096000,382604000,0,0,607000,54519000,0,-314655000,408312000,-78785000,-621817000,-1076636000,1003394000,283271000,-490573000,0,0,0,0,-45437000,-45437000,-6209000,-133907000,466763000,600670000,408312000,-78785000,329527000,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000019/0001069183-25-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000019/axon-20241231.htm
BKR,2024-12-31,2024-12-31,USD,0001701605,2025-02-04,2025-02-04 07:05:30,2024,FY,27829000000,21916000000,5913000000,0.2124761939,0,0,0,2458000000,301000000,2759000000,24748000000,0,198000000,1136000000,4599000000,0.1652592619,3081000000,0.1107118474,184000000,3265000000,0.1173236552,257000000,2979000000,0.1070466061,3.0,2.98,999664429,1001000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/0001701605-25-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/bkr-20241231.htm,2024-12-31,BKR,USD,0001701605,2025-02-04,2025-02-04 07:05:30,2024,FY,3364000000,0,3364000000,7122000000,4954000000,1771000000,17211000000,5127000000,6078000000,3951000000,10029000000,0,1284000000,4712000000,21152000000,0,38363000000,4542000000,53000000,0,5672000000,2724000000,12991000000,5970000000,0,83000000,2264000000,8317000000,0,0,21308000000,0,0,0,-3161000000,20216000000,17055000000,17215000000,38363000000,160000000,38363000000,0,6023000000,2659000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/0001701605-25-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/bkr-20241231.htm,2024-12-31,BKR,USD,0001701605,2025-02-04,2025-02-04 07:05:30,2024,FY,3008000000,1136000000,-671000000,202000000,0,0,0,0,0,-343000000,3332000000,0,0,0,92000000,-1108000000,-1016000000,-143000000,0,-484000000,-836000000,-64000000,-1527000000,-71000000,718000000,3364000000,2646000000,3332000000,0,3332000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/0001701605-25-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/bkr-20241231.htm
BALL,2024-12-31,2024-12-31,USD,0000009389,2025-02-20,2025-02-20 11:12:47,2024,FY,11795000000,9354000000,2441000000,0.2069520983,0,0,0,647000000,0,647000000,10001000000,68000000,293000000,620000000,1448000000,0.122763883,1183000000,0.1002967359,-648000000,535000000,0.0453582026,133000000,4008000000,0.3398050021,13.12,13.0,305459000,308206000,https://www.sec.gov/Archives/edgar/data/9389/000155837025001190/0001558370-25-001190-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837025001190/ball-20241231x10k.htm,2024-12-31,BALL,USD,0000009389,2025-02-20,2025-02-20 11:12:47,2024,FY,885000000,0,885000000,2166000000,1477000000,313000000,4841000000,6173000000,4172000000,1080000000,5252000000,0,0,1362000000,12787000000,0,17628000000,0,361000000,0,0,4486000000,4847000000,5312000000,0,0,1539000000,6851000000,0,0,11698000000,0,5930000000,0,0,0,5930000000,5998000000,17628000000,68000000,17628000000,0,5673000000,4788000000,https://www.sec.gov/Archives/edgar/data/9389/000155837025001190/0001558370-25-001190-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837025001190/ball-20241231x10k.htm,2024-12-31,BALL,USD,0000009389,2025-02-20,2025-02-20 11:12:47,2024,FY,4014000000,620000000,143000000,0,-551000000,0,0,0,-551000000,-4111000000,115000000,-484000000,-74000000,0,0,5561000000,5003000000,-2859000000,0,-1712000000,-244000000,25000000,-4790000000,-107000000,221000000,931000000,710000000,115000000,-484000000,-369000000,https://www.sec.gov/Archives/edgar/data/9389/000155837025001190/0001558370-25-001190-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837025001190/ball-20241231x10k.htm
BAC,2024-12-31,2024-12-31,USD,0000070858,2025-02-25,2025-02-25 17:07:15,2024,FY,101887000000,0,101887000000,1.0,0,44873000000,5450000000,50323000000,22310000000,72633000000,72633000000,146607000000,90547000000,0,29254000000,0.2871220077,29254000000,0.2871220077,0,29254000000,0.2871220077,2122000000,27132000000,0.2662950131,3.25,3.22,7738400000,7843700000,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/0000070858-25-000139-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/bac-20241231.htm,2024-12-31,BAC,USD,0000070858,2025-02-25,2025-02-25 17:07:15,2024,FY,290114000000,595741000000,885855000000,82516000000,0,0,968171000000,12168000000,69021000000,0,69021000000,1999879000000,0,212550000000,2293618000000,0,3261789000000,0,375149000000,0,0,2058110000000,2433259000000,283279000000,0,0,249692000000,532971000000,0,0,2966230000000,23159000000,45336000000,242349000000,-15285000000,0,295559000000,295559000000,3261789000000,0,3261789000000,2595620000000,658428000000,368314000000,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/0000070858-25-000139-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/bac-20241231.htm,2024-12-31,BAC,USD,0000070858,2025-02-25,2025-02-25 17:07:15,2024,FY,27132000000,2189000000,-1734000000,3433000000,-48546000000,0,0,0,-48546000000,8721000000,-8805000000,0,0,-390911000000,342455000000,-42237000000,-90693000000,-1154000000,0,-18358000000,-9503000000,84130000000,60369000000,-3830000000,-42959000000,290114000000,333073000000,-8805000000,0,-8805000000,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/0000070858-25-000139-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/bac-20241231.htm
BAX,2024-12-31,2024-12-31,USD,0000010456,2025-02-21,2025-02-21 17:15:03,2024,FY,4513000000,2812000000,1701000000,0.3769111456,181000000,2967000000,-1764000000,1203000000,0,1384000000,4196000000,67000000,408000000,10000000,-112000000,-0.0248171948,-112000000,-0.0248171948,-23000000,-135000000,-0.029913583,177000000,-312000000,-0.069133614,-1.27,-1.27,510000000,510000000,https://www.sec.gov/Archives/edgar/data/10456/000162828025007201/0001628280-25-007201-index.htm,https://www.sec.gov/Archives/edgar/data/10456/000162828025007201/bax-20241231.htm,2024-12-31,BAX,USD,0000010456,2025-02-21,2025-02-21 17:15:03,2024,FY,1764000000,0,1764000000,1679000000,2046000000,3364000000,8853000000,3176000000,5275000000,5223000000,10498000000,0,0,3255000000,16929000000,0,25782000000,968000000,2752000000,217000000,0,2574000000,6511000000,10617000000,0,0,1630000000,12247000000,0,0,18758000000,0,683000000,14929000000,-4010000000,-4638000000,6964000000,7024000000,25782000000,60000000,25782000000,109000000,13369000000,11605000000,https://www.sec.gov/Archives/edgar/data/10456/000162828025007201/0001628280-25-007201-index.htm,https://www.sec.gov/Archives/edgar/data/10456/000162828025007201/bax-20241231.htm,2024-12-31,BAX,USD,0000010456,2025-02-21,2025-02-21 17:15:03,2024,FY,-326000000,997000000,-262000000,114000000,-236000000,-35000000,-201000000,112000000,-112000000,732000000,1019000000,-446000000,0,0,34000000,2000000,-410000000,-531000000,0,0,-590000000,40000000,-1081000000,-96000000,-784000000,2414000000,3198000000,1019000000,-446000000,559000000,https://www.sec.gov/Archives/edgar/data/10456/000162828025007201/0001628280-25-007201-index.htm,https://www.sec.gov/Archives/edgar/data/10456/000162828025007201/bax-20241231.htm
BDX,2024-09-30,2024-09-30,USD,0000010795,2024-11-27,2024-11-27 13:36:08,2024,FY,20178000000,11053000000,9125000000,0.4522251958,1190000000,0,0,4857000000,681000000,6728000000,17780000000,163000000,528000000,2286000000,4847000000,0.2402121122,2397000000,0.1187927446,-392000000,2005000000,0.0993656458,300000000,1705000000,0.0844979681,5.88,5.86,289763000,291009000,https://www.sec.gov/Archives/edgar/data/10795/000001079524000084/0000010795-24-000084-index.htm,https://www.sec.gov/Archives/edgar/data/10795/000001079524000084/bdx-20240930.htm,2024-09-30,BDX,USD,0000010795,2024-11-27,2024-11-27 13:36:08,2024,FY,1856000000,445000000,2301000000,3033000000,3843000000,1291000000,10468000000,6821000000,26465000000,10917000000,37382000000,0,0,2615000000,46818000000,0,57286000000,1896000000,2170000000,168000000,0,4722000000,8956000000,17940000000,0,0,4501000000,22441000000,0,0,31397000000,0,371000000,16139000000,0,9401000000,25911000000,25911000000,57286000000,0,57286000000,445000000,20110000000,18254000000,https://www.sec.gov/Archives/edgar/data/10795/000001079524000084/0000010795-24-000084-index.htm,https://www.sec.gov/Archives/edgar/data/10795/000001079524000084/bdx-20240930.htm,2024-09-30,BDX,USD,0000010795,2024-11-27,2024-11-27 13:36:08,2024,FY,1705000000,2286000000,-211000000,247000000,0,0,98000000,0,0,-183000000,3844000000,-725000000,-3924000000,-421000000,0,-444000000,-5514000000,3775000000,0,-500000000,-1100000000,-88000000,2087000000,4000000,375000000,1856000000,1481000000,3844000000,-725000000,3119000000,https://www.sec.gov/Archives/edgar/data/10795/000001079524000084/0000010795-24-000084-index.htm,https://www.sec.gov/Archives/edgar/data/10795/000001079524000084/bdx-20240930.htm
