Ticker,Timestamp,Price,Size
ANET,2025-04-25 15:13:56.087000+00:00,77.15,100
GOOGL,2025-04-25 15:13:55.974000+00:00,162.95,100
AJG,2025-04-25 15:13:57.490000+00:00,318.0,200
AJG,2025-04-25 15:13:57.490000+00:00,318.11,100
GOOG,2025-04-25 15:13:57.400000+00:00,165.14,100
ANET,2025-04-25 15:13:56.943000+00:00,77.17,100
APA,2025-04-25 15:13:57.162000+00:00,16.42,100
AAPL,2025-04-25 15:13:57.169000+00:00,207.48,100
GOOG,2025-04-25 15:13:58.218000+00:00,165.12,100
AFL,2025-04-25 15:13:58.245000+00:00,107.61,100
GOOG,2025-04-25 15:14:00.246000+00:00,165.16,100
ABBV,2025-04-25 15:14:00.388000+00:00,183.73,100
T,2025-04-25 15:14:01.023000+00:00,26.945,100
T,2025-04-25 15:14:01.026000+00:00,26.945,100
T,2025-04-25 15:14:01.029000+00:00,26.945,142
GOOGL,2025-04-25 15:14:02.150000+00:00,163.01,100
AES,2025-04-25 15:14:03.035000+00:00,9.985,100
AMD,2025-04-25 15:14:06.991000+00:00,95.05,100
AMZN,2025-04-25 15:14:06.992000+00:00,187.47,100
AMZN,2025-04-25 15:14:06.992000+00:00,187.47,100
AFL,2025-04-25 15:14:07.604000+00:00,107.59,100
GOOG,2025-04-25 15:14:08.541000+00:00,165.16,100
APH,2025-04-25 15:14:08.921000+00:00,75.95,100
APH,2025-04-25 15:14:10.685000+00:00,75.94,100
AAPL,2025-04-25 15:14:11.440000+00:00,207.53,100
AAPL,2025-04-25 15:14:11.455000+00:00,207.52,100
AMP,2025-04-25 15:14:11.490000+00:00,467.44,200
APA,2025-04-25 15:14:14.392000+00:00,16.43,199
AMD,2025-04-25 15:14:17.481000+00:00,94.96,100
AMD,2025-04-25 15:14:17.481000+00:00,94.96,100
AMD,2025-04-25 15:14:17.481000+00:00,94.96,100
AON,2025-04-25 15:14:18.070000+00:00,330.06,100
AON,2025-04-25 15:14:18.070000+00:00,330.06,100
AON,2025-04-25 15:14:18.070000+00:00,330.03,100
AON,2025-04-25 15:14:18.277000+00:00,330.0,100
AON,2025-04-25 15:14:18.277000+00:00,329.96,100
AON,2025-04-25 15:14:18.277000+00:00,329.93,100
AAPL,2025-04-25 15:14:19.523000+00:00,207.54,100
ABBV,2025-04-25 15:14:20.312000+00:00,183.77,100
ABBV,2025-04-25 15:14:21.050000+00:00,183.77,100
AMD,2025-04-25 15:14:22.108000+00:00,94.98,100
AMD,2025-04-25 15:14:22.109000+00:00,94.98,100
