Ticker,Timestamp,Price,Size,Exchange
AES,2025-04-24 15:55:00.280192+00:00,10.285,100.0,V
LNT,2025-04-24 15:55:00.657872+00:00,61.37,6.0,V
AEP,2025-04-24 15:55:00.661567+00:00,106.91,100.0,V
AMZN,2025-04-24 15:55:00.991417+00:00,184.97,16.0,V
AMZN,2025-04-24 15:55:00.991430+00:00,184.97,84.0,V
AEE,2025-04-24 15:55:01.086982+00:00,99.16,40.0,V
AEE,2025-04-24 15:55:01.087348+00:00,99.16,40.0,V
AEE,2025-04-24 15:55:01.087484+00:00,99.16,40.0,V
AEE,2025-04-24 15:55:01.087923+00:00,99.16,40.0,V
AEE,2025-04-24 15:55:01.088413+00:00,99.16,40.0,V
AMD,2025-04-24 15:55:01.141651+00:00,93.43,1.0,V
AEE,2025-04-24 15:55:01.170280+00:00,99.16,40.0,V
AES,2025-04-24 15:55:01.178508+00:00,10.275,6.0,V
AES,2025-04-24 15:55:01.270611+00:00,10.275,100.0,V
AMZN,2025-04-24 15:55:02.695719+00:00,184.98,54.0,V
GOOGL,2025-04-24 15:55:03.159627+00:00,158.31,3.0,V
GOOG,2025-04-24 15:55:04.349049+00:00,160.57,100.0,V
AMZN,2025-04-24 15:55:04.426631+00:00,184.98,100.0,V
AMZN,2025-04-24 15:55:04.768669+00:00,184.97,100.0,V
AMT,2025-04-24 15:55:06.656651+00:00,214.28,5.0,V
AMT,2025-04-24 15:55:06.656651+00:00,214.25,40.0,V
AMT,2025-04-24 15:55:06.656654+00:00,214.24,100.0,V
AMT,2025-04-24 15:55:06.656654+00:00,214.23,55.0,V
GOOGL,2025-04-24 15:55:07.564226+00:00,158.32,100.0,V
MO,2025-04-24 15:55:07.878958+00:00,58.605,10.0,V
GOOGL,2025-04-24 15:55:09.507168+00:00,158.32,100.0,V
GOOGL,2025-04-24 15:55:09.643477+00:00,158.32,100.0,V
GOOGL,2025-04-24 15:55:10.186367+00:00,158.32,100.0,V
AMD,2025-04-24 15:55:10.349411+00:00,93.45,100.0,V
MO,2025-04-24 15:55:11.157878+00:00,58.6,100.0,V
ADBE,2025-04-24 15:55:11.204062+00:00,359.69,5.0,V
AMZN,2025-04-24 15:55:11.797184+00:00,184.96,100.0,V
GOOGL,2025-04-24 15:55:13.229045+00:00,158.3,100.0,V
GOOGL,2025-04-24 15:55:13.229082+00:00,158.29,8.0,V
GOOG,2025-04-24 15:55:13.229194+00:00,160.55,80.0,V
GOOGL,2025-04-24 15:55:13.424845+00:00,158.34,1.0,V
AMZN,2025-04-24 15:55:14.231441+00:00,185.0,17.0,V
AMZN,2025-04-24 15:55:14.231453+00:00,185.0,25.0,V
AMZN,2025-04-24 15:55:14.231457+00:00,185.0,20.0,V
AMZN,2025-04-24 15:55:14.231461+00:00,185.0,1.0,V
AMZN,2025-04-24 15:55:14.237837+00:00,185.0,65.0,V
AMZN,2025-04-24 15:55:14.241430+00:00,185.04,1.0,V
AMZN,2025-04-24 15:55:14.253965+00:00,185.01,31.0,V
AMZN,2025-04-24 15:55:14.269516+00:00,185.04,9.0,V
AMZN,2025-04-24 15:55:14.269527+00:00,185.04,91.0,V
AMZN,2025-04-24 15:55:14.271106+00:00,185.04,100.0,V
GOOG,2025-04-24 15:55:14.283909+00:00,160.6,55.0,V
AMZN,2025-04-24 15:55:14.317081+00:00,185.03,50.0,V
AMT,2025-04-24 15:55:14.669244+00:00,214.37,100.0,V
ADBE,2025-04-24 15:55:15.019026+00:00,359.69,100.0,V
AMD,2025-04-24 15:55:15.895883+00:00,93.46,100.0,V
AMD,2025-04-24 15:55:15.897446+00:00,93.47,28.0,V
ABNB,2025-04-24 15:55:16.304376+00:00,120.71,75.0,V
ABNB,2025-04-24 15:55:16.304389+00:00,120.72,100.0,V
ABNB,2025-04-24 15:55:16.304389+00:00,120.73,100.0,V
ABNB,2025-04-24 15:55:16.304395+00:00,120.73,25.0,V
ABNB,2025-04-24 15:55:16.304440+00:00,120.73,75.0,V
ABT,2025-04-24 15:55:16.587812+00:00,129.775,100.0,V
ABT,2025-04-24 15:55:16.588290+00:00,129.775,10.0,V
AMZN,2025-04-24 15:55:18.945028+00:00,185.0,200.0,V
AMZN,2025-04-24 15:55:18.946217+00:00,185.0,400.0,V
GOOGL,2025-04-24 15:55:19.004575+00:00,158.35,5.0,V
AMZN,2025-04-24 15:55:19.011923+00:00,185.0,100.0,V
MO,2025-04-24 15:55:21.371559+00:00,58.59,100.0,V
MMM,2025-04-24 15:55:21.394615+00:00,138.46,100.0,V
MMM,2025-04-24 15:55:21.394636+00:00,138.46,44.0,V
MO,2025-04-24 15:55:21.400614+00:00,58.585,100.0,V
MMM,2025-04-24 15:55:22.445972+00:00,138.46,30.0,V
MMM,2025-04-24 15:55:22.445972+00:00,138.46,20.0,V
ABBV,2025-04-24 15:55:22.512647+00:00,179.9,3.0,V
AMZN,2025-04-24 15:55:23.367762+00:00,184.99,60.0,V
ADBE,2025-04-24 15:55:23.682174+00:00,359.62,10.0,V
ABBV,2025-04-24 15:55:24.717782+00:00,179.91,7.0,V
AOS,2025-04-24 15:55:25.505052+00:00,65.05,100.0,V
A,2025-04-24 15:55:25.514901+00:00,106.02,100.0,V
A,2025-04-24 15:55:25.514901+00:00,106.03,166.0,V
