symbol,reportDate,date,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,balance_date,balance_symbol,balance_reportedCurrency,balance_cik,balance_fillingDate,balance_acceptedDate,balance_calendarYear,balance_period,balance_cashAndCashEquivalents,balance_shortTermInvestments,balance_cashAndShortTermInvestments,balance_netReceivables,balance_inventory,balance_otherCurrentAssets,balance_totalCurrentAssets,balance_propertyPlantEquipmentNet,balance_goodwill,balance_intangibleAssets,balance_goodwillAndIntangibleAssets,balance_longTermInvestments,balance_taxAssets,balance_otherNonCurrentAssets,balance_totalNonCurrentAssets,balance_otherAssets,balance_totalAssets,balance_accountPayables,balance_shortTermDebt,balance_taxPayables,balance_deferredRevenue,balance_otherCurrentLiabilities,balance_totalCurrentLiabilities,balance_longTermDebt,balance_deferredRevenueNonCurrent,balance_deferredTaxLiabilitiesNonCurrent,balance_otherNonCurrentLiabilities,balance_totalNonCurrentLiabilities,balance_otherLiabilities,balance_capitalLeaseObligations,balance_totalLiabilities,balance_preferredStock,balance_commonStock,balance_retainedEarnings,balance_accumulatedOtherComprehensiveIncomeLoss,balance_othertotalStockholdersEquity,balance_totalStockholdersEquity,balance_totalEquity,balance_totalLiabilitiesAndStockholdersEquity,balance_minorityInterest,balance_totalLiabilitiesAndTotalEquity,balance_totalInvestments,balance_totalDebt,balance_netDebt,balance_link,balance_finalLink,cashflow_date,cashflow_symbol,cashflow_reportedCurrency,cashflow_cik,cashflow_fillingDate,cashflow_acceptedDate,cashflow_calendarYear,cashflow_period,cashflow_netIncome,cashflow_depreciationAndAmortization,cashflow_deferredIncomeTax,cashflow_stockBasedCompensation,cashflow_changeInWorkingCapital,cashflow_accountsReceivables,cashflow_inventory,cashflow_accountsPayables,cashflow_otherWorkingCapital,cashflow_otherNonCashItems,cashflow_netCashProvidedByOperatingActivities,cashflow_investmentsInPropertyPlantAndEquipment,cashflow_acquisitionsNet,cashflow_purchasesOfInvestments,cashflow_salesMaturitiesOfInvestments,cashflow_otherInvestingActivites,cashflow_netCashUsedForInvestingActivites,cashflow_debtRepayment,cashflow_commonStockIssued,cashflow_commonStockRepurchased,cashflow_dividendsPaid,cashflow_otherFinancingActivites,cashflow_netCashUsedProvidedByFinancingActivities,cashflow_effectOfForexChangesOnCash,cashflow_netChangeInCash,cashflow_cashAtEndOfPeriod,cashflow_cashAtBeginningOfPeriod,cashflow_operatingCashFlow,cashflow_capitalExpenditure,cashflow_freeCashFlow,cashflow_link,cashflow_finalLink
BMY,2024-12-31,2024-12-31,USD,0000014272,2025-02-12,2025-02-12 12:52:08,2024,FY,48300000000,13968000000,34332000000,0.7108074534,11159000000,0,0,8414000000,0,32397000000,44346000000,0,1947000000,9600000000,3168000000,0.0655900621,5887000000,0.121884058,-14266000000,-8379000000,-0.1734782609,554000000,-8948000000,-0.1852587992,-4.41,-4.41,2027000000,2027000000,https://www.sec.gov/Archives/edgar/data/14272/000001427225000039/0000014272-25-000039-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427225000039/bmy-20241231.htm,2024-12-31,BMY,USD,0000014272,2025-02-12,2025-02-12 12:52:08,2024,FY,10346000000,513000000,10859000000,10747000000,2557000000,5617000000,29780000000,7136000000,21719000000,23307000000,45026000000,0,4236000000,6425000000,62823000000,0,92603000000,3602000000,2227000000,1514000000,0,16431000000,23774000000,48973000000,0,369000000,3099000000,52441000000,0.0,1551000000,76215000000,0,292000000,14912000000,-1238000000,2369000000,16335000000,16388000000,92603000000,53000000,92603000000,513000000,51200000000,40854000000,https://www.sec.gov/Archives/edgar/data/14272/000001427225000039/0000014272-25-000039-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427225000039/bmy-20241231.htm,2024-12-31,BMY,USD,0000014272,2025-02-12,2025-02-12 12:52:08,2024,FY,-8933000000,9600000000,-2089000000.0,507000000,810000000,264000000,-486000000,184000000,848000000,15295000000,15190000000,-1248000000,-21821000000,-769000000,1387000000,1099000000,-21352000000,10096000000,0,0,-4863000000,-106000000,5127000000,-137000000,-1172000000,10347000000,11519000000,15190000000,-1248000000,13942000000,https://www.sec.gov/Archives/edgar/data/14272/000001427225000039/0000014272-25-000039-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427225000039/bmy-20241231.htm
AVGO,2024-11-03,2024-11-03,USD,0001730168,2024-12-20,2024-12-20 17:26:46,2024,FY,51574000000,19065000000,32509000000,0.6303369915,9310000000,0,0,4959000000,4777000000,19046000000,38111000000,304000000,3796000000,10010000000,23722000000,0.4599604452,13463000000,0.2610423857,-3547000000,9916000000,0.1922674216,3748000000,5895000000,0.11430178,1.33,1.23,4624000000,4778000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm,2024-11-03,AVGO,USD,0001730168,2024-12-20,2024-12-20 17:26:46,2024,FY,9348000000,0,9348000000,4416000000,1760000000,4071000000,19595000000,2521000000,97873000000,40583000000,138456000000,0,0,5073000000,146050000000,0,165645000000,1662000000,1271000000,0,0,13764000000,16697000000,66295000000,0,0,14975000000,81270000000,0.0,0,97967000000,0,5000000,0,207000000,67466000000,67678000000,67678000000,165645000000,0,165645000000,0,67566000000,58218000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm,2024-11-03,AVGO,USD,0001730168,2024-12-20,2024-12-20 17:26:46,2024,FY,5895000000,10010000000,0.0,5741000000,-4637000000,2327000000,150000000,121000000,-7235000000,2953000000,19962000000,-548000000,-25978000000,-175000000,156000000,3475000000,-23070000000,20346000000,190000000,-12392000000,-9814000000,-253000000,-1733000000,0,-4841000000,9348000000,14189000000,19962000000,-548000000,19414000000,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm
BR,2024-06-30,2024-06-30,USD,0001383312,2024-08-06,2024-08-06 10:22:53,2024,FY,6506800000,4572900000,1933900000,0.2972121473,0,0,0,916800000,0,916800000,5489700000,12100000,150200000,477900000,1505500000,0.2313733325,1017100000,0.1563133952,-139700000,877400000,0.1348435483,179300000,698100000,0.1072877605,5.93,5.86,117700000,119100000,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/0001383312-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/br-20240630.htm,2024-06-30,BR,USD,0001383312,2024-08-06,2024-08-06 10:22:53,2024,FY,304400000,800000,305200000,1065599999,30500000,139600001,1540900000,348400000,3469400000,1307200000,4776600000,271100000,0,1305400000,6701500000,0,8242400000,314000000,38000000,112500000,0,957300000,1421800000,3538900000,469200000,277300000,367000000,4652400000,0.0,221800000,6074200000,0,1600000,3435100000,-331700000,-936800000,2168200000,2168200000,8242400000,0,8242400000,271100000,3576900000,3272500000,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/0001383312-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/br-20240630.htm,2024-06-30,BR,USD,0001383312,2024-08-06,2024-08-06 10:22:53,2024,FY,698100000,477900000,-119700000.0,70600000,-31200000,-37400000,0,136500000,-130300000,-39500000,1056200000,-113000000,-34300000,0,0,-700000,-148000000,-60000000,0,-485400000,-368200000,58100000,-855500000,-600000,52100000,304400000,252300000,1056200000,-113000000,943200000,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/0001383312-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/br-20240630.htm
BRO,2024-12-31,2024-12-31,USD,0000079282,2025-02-13,2025-02-12 17:37:07,2024,FY,4705000000,2406000000,2299000000,0.488629118,0,0,0,0,932000000,932000000,3338000000,0,201000000,222000000,1726000000,0.3668437832,1367000000,0.2905419766,-64000000,1303000000,0.2769394261,301000000,993000000,0.2110520723,3.56,3.46,282000000,284000000,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/0000950170-25-019039-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/bro-20241231.htm,2024-12-31,BRO,USD,0000079282,2025-02-13,2025-02-12 17:37:07,2024,FY,675000000,10000000,685000000,3538000000,0,2701000000,6924000000,519000000,7970000000,1814000000,9784000000,19000000,0,366000000,10688000000,0,17612000000,373000000,225000000,0,0,5716000000,6314000000,189000000,0,711000000,3961000000,4861000000,0.0,0,11175000000,0,31000000,6128000000,-109000000,387000000,6437000000,6454000000,17612000000,17000000,17612000000,29000000,414000000,-261000000,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/0000950170-25-019039-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/bro-20241231.htm,2024-12-31,BRO,USD,0000079282,2025-02-13,2025-02-12 17:37:07,2024,FY,1002000000,222000000,13000000.0,101000000,-105000000,0,0,-47000000,-58000000,-59000000,1174000000,0,-890000000,-7000000,11000000,-12000000,-898000000,30000000,0,-55000000,-154000000,115000000,-64000000,-13000000,199000000,2502000000,2303000000,1174000000,0,1174000000,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/0000950170-25-019039-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/bro-20241231.htm
BLDR,2024-12-31,2024-12-31,USD,0001316835,2025-02-20,2025-02-20 13:46:21,2024,FY,16400492000,11017448000,5383044000,0.3282245435,0,0,0,3787795000,0,3787795000,14805243000,0,207724000,51000,1595300000,0.0972714721,1595249000,0.0972683624,-207724000,1387525000,0.0846026448,309627000,1077898000,0.0657235161,9.13,9.06,118038000,118980000,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/0000950170-25-023953-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/bldr-20241231.htm,2024-12-31,BLDR,USD,0001316835,2025-02-20,2025-02-20 13:46:21,2024,FY,153624000,0,153624000,1658584000,1212375000,116656000,3141239000,2556032000,3678504000,1103634000,4782138000,0,0,103677000,7441847000,0,10583086000,868054000,106969000,72944000,0,729309000,1777276000,525213000,0,148167000,3835960000,4509340000,0.0,0,6286616000,0,1136000,24065000,0,4271269000,4296470000,4296470000,10583086000,0,10583086000,0,632182000,478558000,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/0000950170-25-023953-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/bldr-20241231.htm,2024-12-31,BLDR,USD,0001316835,2025-02-20,2025-02-20 13:46:21,2024,FY,1077898000,561929000,-19033000.0,63111000,155805000,264233000,51475000,-28600000,-131303000,32982000,1872692000,-380569000,-344144000,0,0,13994000,-710719000,532603000,0,-1517131000,0,-89977000,-1074505000,0,87468000,153624000,66156000,1872692000,-380569000,1492123000,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/0000950170-25-023953-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/bldr-20241231.htm
BG,2024-12-31,2024-12-31,USD,0001144519,2025-02-20,2025-02-20 14:39:04,2024,FY,53108000000,49715000000,3393000000,0.0638886797,0,0,0,1776000000,-215000000,1561000000,51276000000,163000000,471000000,468000000,2463000000,0.0463771936,1832000000,0.0344957445,-308000000,1524000000,0.0286962416,336000000,1137000000,0.0214092039,8.14,7.99,139627104,142000000,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/0001996862-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/bg-20241231.htm,2024-12-31,BG,USD,0001144519,2025-02-20,2025-02-20 14:39:04,2024,FY,3311000000,484000000,3795000000,2737000000,6491000000,2935000000,15958000000,6186000000,453000000,321000000,774000000,953000000,645000000,383000000,8941000000,0,24899000000,2777000000,1830000000,80000000,501000000,2247000000,7435000000,5289000000,0,379000000,847000000,6515000000,0.0,881000000,13950000000,0,1000000,12838000000,-6702000000,3776000000,9913000000,10949000000,24899000000,1036000000,24899000000,1437000000,7119000000,3808000000,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/0001996862-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/bg-20241231.htm,2024-12-31,BG,USD,0001144519,2025-02-20,2025-02-20 14:39:04,2024,FY,1188000000,468000000,-10000000.0,65000000,95000000,169000000,96000000,0,-170000000,94000000,1900000000,0,0,0,523000000,-1637000000,-1114000000,1416000000,0,-1100000000,-378000000,-28000000,-90000000,9000000,705000000,3328000000,2623000000,1900000000,-1376000000,524000000,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/0001996862-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/bg-20241231.htm
BXP,2024-12-31,2024-12-31,USD,0001037540,2025-02-27,2025-02-27 15:36:49,2024,FY,3407719000,1597000,3406122000,0.9995313581,0,159983000,0,159983000,0,159983000,161580000,60199000,645117000,888461000,1617766000,0.4747357397,3246139000,0.9525841186,-3161951000,84188000,0.0247050887,69916000,14272000,0.0041881388,0.09,0.09,157468000,157793000,https://www.sec.gov/Archives/edgar/data/1037540/000165642325000009/0001656423-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1037540/000165642325000009/bxp-20241231.htm,2024-12-31,BXP,USD,0001037540,2025-02-27,2025-02-27 15:36:49,2024,FY,1254882000,0,1254882000,1682056000,0,80314000,3017252000,707689000,0,0,0,1133289000,0,21226750000,23067728000,0,26084980000,401874000,500000000,0,0,300584000,1202458000,16484070000,0,0,450796000,16934866000,0.0,763571000,18137324000,0,0,0,-2072000,7949728000,7947656000,7947656000,26084980000,0,26084980000,1133289000,16984070000,15729188000,https://www.sec.gov/Archives/edgar/data/1037540/000165642325000009/0001656423-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1037540/000165642325000009/bxp-20241231.htm,2024-12-31,BXP,USD,0001037540,2025-02-27,2025-02-27 15:36:49,2024,FY,84188000,888461000,0.0,43949000,-204407000,0,0,-50891000,-153516000,422310000,1234501000,0,0,-2500000,0,-1234896000,-1237396000,132344000,0,0,-689870000,283050000,-274476000,0,-277371000,1335196000,1612567000,1234501000,0,1234501000,https://www.sec.gov/Archives/edgar/data/1037540/000165642325000009/0001656423-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1037540/000165642325000009/bxp-20241231.htm
CHRW,2024-12-31,2024-12-31,USD,0001043277,2025-02-14,2025-02-14 11:32:56,2024,FY,17724956000,16416191000,1308765000,0.0738374188,0,0,0,639624000,0,639624000,17055815000,0,89937000,97160000,766301000,0.0432328859,669141000,0.037751349,-89937000,579204000,0.0326773167,113514000,465690000,0.0262731259,3.89,3.86,119805000,120679000,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/0001043277-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/chrw-20241231.htm,2024-12-31,CHRW,USD,0001043277,2025-02-14,2025-02-14 11:32:56,2024,FY,145762000,0,145762000,2383709000,0,440132000,2969603000,461927000,1428965000,130299000,1559264000,0,300909000,6223000,2328323000,0,5297926000,1212132000,528634000,9326000,0,574806000,2324898000,1212498000,0,12565000,25914000,1250977000,0.0,363483000,3575875000,0,1722051000,0,-110402000,110402000,1722051000,1722051000,5297926000,0,5297926000,0,1741132000,1595370000,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/0001043277-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/chrw-20241231.htm,2024-12-31,CHRW,USD,0001043277,2025-02-14,2025-02-14 11:32:56,2024,FY,465690000,97160000,-80067000.0,84590000,0,-164255000,0,-79943000,0,-58289000,509084000,-22653000,0,0,0,-51635000,-74288000,0,0,0,-294772000,-121327000,-416099000,-8152000,238000,145762000,145524000,509084000,-22653000,486431000,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/0001043277-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/chrw-20241231.htm
CDNS,2024-12-31,2024-12-31,USD,0000813672,2025-02-21,2025-02-20 17:44:49,2024,FY,4641264000,210902000,4430362000,0.9545593614,1549093000,282283000,757483000,1039766000,490740000,3079599000,3290501000,62484000,75999000,195015000,1666833000,0.3591334171,1350763000,0.291033434,45056000,1395819000,0.3007411343,340335000,1055484000,0.2274130495,3.89,3.85,271212000,273833000,https://www.sec.gov/Archives/edgar/data/813672/000081367225000024/0000813672-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367225000024/cdns-20241231.htm,2024-12-31,CDNS,USD,0000813672,2025-02-21,2025-02-20 17:44:49,2024,FY,2644030000,140625000,2644030000,680460000,257711000,433878000,4016079000,604390000,2378671000,594734000,2973405000,124086000,0,1256522000,4958403000,0,8974482000,5555000,0,0,737413000,627137000,1370105000,2476183000,0,0,0,2476183000,454616000.0,0,4300904000,0,4181737000,5991868000,-190448000,-5309579000,4673578000,4673578000,8974482000,0,8974482000,264711000,2476183000,-167847000,https://www.sec.gov/Archives/edgar/data/813672/000081367225000024/0000813672-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367225000024/cdns-20241231.htm,2024-12-31,CDNS,USD,0000813672,2025-02-21,2025-02-20 17:44:49,2024,FY,1055484000,195015000,0.0,391219000,0,0,257711000,5555000,0,-381167000,1260551000,-142542000,-737574000,-4982000,47980000,0,-837118000,1846595000,204237000,-787763000,0,-23828000,1239241000,0,1635878000,2644030000,1008152000,1260551000,-142542000,1118009000,https://www.sec.gov/Archives/edgar/data/813672/000081367225000024/0000813672-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367225000024/cdns-20241231.htm
CZR,2024-12-31,2024-12-31,USD,0001590895,2025-02-25,2025-02-25 16:33:44,2024,FY,11245000000,0,11245000000,1.0,0,1920000000,0,1920000000,7021000000,8941000000,8941000000,11000000,2377000000,1324000000,3577000000,0.318096932,2304000000,0.2048910627,-2428000000,-124000000,-0.0110271232,87000000,-278000000,-0.0247220987,-1.29,-1.29,215000000,215000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/0001590895-25-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/czr-20241231.htm,2024-12-31,CZR,USD,0001590895,2025-02-25,2025-02-25 16:33:44,2024,FY,866000000,0,866000000,470000000,45000000,366000000,1747000000,14812000000,10601000000,-6468000000,4133000000,131000000,62000000,11705000000,30843000000,0,32590000000,296000000,130000000,205000000,0,1641000000,2272000000,24932000000,0,130000000,880000000,25942000000,0.0,21000000,28214000000,0,0,-2801000000,96000000,7081000000,4376000000,4595000000,32590000000,219000000,32590000000,131000000,25062000000,24196000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/0001590895-25-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/czr-20241231.htm,2024-12-31,CZR,USD,0001590895,2025-02-25,2025-02-25 16:33:44,2024,FY,-211000000,1324000000,87000000.0,94000000,-475000000,86000000,0,-500000000,-61000000,256000000,1075000000,-1296000000,0,0,14000000,578000000,-704000000,-153000000,0,-191000000,0,-154000000,-498000000,0,-127000000,1016000000,1143000000,1075000000,-1296000000,-221000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/0001590895-25-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/czr-20241231.htm
