symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CAT,2025-01-21 05:00:00+00:00,391.0,402.58,390.8,398.36,3144508.0,78319.0,397.081492
CAT,2025-01-22 05:00:00+00:00,398.68,400.4819,395.111,397.61,1994791.0,50972.0,397.639755
CAT,2025-01-23 05:00:00+00:00,397.37,409.59,397.27,406.4,2587401.0,62878.0,406.27895
CAT,2025-01-24 05:00:00+00:00,405.73,409.4,405.28,407.63,1938183.0,42948.0,407.369653
CAT,2025-01-27 05:00:00+00:00,397.19,399.54,389.92,394.98,2964352.0,73819.0,394.065986
CAT,2025-01-28 05:00:00+00:00,394.04,396.88,386.48,390.29,1788939.0,50302.0,390.168247
CAT,2025-01-29 05:00:00+00:00,391.94,399.36,391.12,393.23,2675819.0,62904.0,394.907336
CAT,2025-01-30 05:00:00+00:00,373.5,380.81,373.16,374.98,4234597.0,97819.0,375.743776
CAT,2025-01-31 05:00:00+00:00,377.46,378.0,371.28,371.44,2859000.0,59584.0,373.117327
CAT,2025-02-03 05:00:00+00:00,364.14,368.55,359.69,361.55,3073055.0,76384.0,362.912685
CAT,2025-02-04 05:00:00+00:00,369.66,369.66,359.41,361.95,2696552.0,63043.0,362.132332
CAT,2025-02-05 05:00:00+00:00,362.87,363.0,357.2,358.85,2134445.0,55801.0,359.0662
CAT,2025-02-06 05:00:00+00:00,363.9,367.5382,362.515,365.45,3007274.0,57484.0,365.510453
CAT,2025-02-07 05:00:00+00:00,369.25,369.5299,362.58,363.88,1795568.0,48171.0,364.701516
CAT,2025-02-10 05:00:00+00:00,365.33,366.235,361.55,363.22,1944201.0,43159.0,363.440324
CAT,2025-02-11 05:00:00+00:00,361.74,364.4199,360.9775,362.23,1516854.0,35418.0,362.729281
CAT,2025-02-12 05:00:00+00:00,357.0,358.93,351.44,352.04,2833093.0,63455.0,353.571638
CAT,2025-02-13 05:00:00+00:00,352.57,357.5882,350.42,353.7,3547192.0,63360.0,354.064886
CAT,2025-02-14 05:00:00+00:00,356.6,358.8762,352.8,353.32,2045278.0,48503.0,354.259442
CAT,2025-02-18 05:00:00+00:00,355.47,356.93,351.11,354.0,3120367.0,55174.0,354.605931
CAT,2025-02-19 05:00:00+00:00,351.87,353.8533,349.59,353.0,2204597.0,57065.0,352.13258
CAT,2025-02-20 05:00:00+00:00,355.0,356.8514,347.4518,349.15,2174066.0,54242.0,350.192551
CAT,2025-02-21 05:00:00+00:00,350.53,352.0,337.5989,340.04,3225242.0,68211.0,341.865712
CAT,2025-02-24 05:00:00+00:00,343.39,345.45,336.23,338.92,2513291.0,54679.0,339.587139
CAT,2025-02-25 05:00:00+00:00,341.0,344.23,336.38,342.36,3323544.0,60089.0,341.617499
CAT,2025-02-26 05:00:00+00:00,345.45,348.78,340.12,342.58,2397754.0,53929.0,344.247914
CAT,2025-02-27 05:00:00+00:00,343.65,346.92,338.46,340.0,1971027.0,50216.0,341.721485
CAT,2025-02-28 05:00:00+00:00,341.98,344.9,338.74,343.95,3210269.0,55266.0,342.677899
CAT,2025-03-03 05:00:00+00:00,347.63,348.15,330.03,332.04,2569655.0,66895.0,335.706523
CAT,2025-03-04 05:00:00+00:00,327.39,331.92,318.68,326.75,3500232.0,80182.0,325.343061
CAT,2025-03-05 05:00:00+00:00,329.12,339.51,328.65,338.49,3189095.0,62684.0,336.477286
CAT,2025-03-06 05:00:00+00:00,335.27,341.91,332.5201,341.01,2234096.0,52804.0,339.482154
CAT,2025-03-07 05:00:00+00:00,339.4,352.115,339.4,350.3,3063803.0,71321.0,347.994861
CAT,2025-03-10 04:00:00+00:00,345.0,352.41,341.85,345.21,2809137.0,68230.0,346.475687
CAT,2025-03-11 04:00:00+00:00,343.92,345.15,336.37,339.77,3191100.0,69975.0,340.071414
CAT,2025-03-12 04:00:00+00:00,343.03,344.91,335.45,338.13,1816667.0,51223.0,338.835191
CAT,2025-03-13 04:00:00+00:00,336.03,340.65,331.67,333.31,2490395.0,53597.0,334.749656
CAT,2025-03-14 04:00:00+00:00,337.72,341.99,336.95,339.64,1936119.0,42471.0,339.627508
CAT,2025-03-17 04:00:00+00:00,339.74,344.3625,339.0015,342.64,1684083.0,44752.0,342.246389
CAT,2025-03-18 04:00:00+00:00,342.0,342.0,335.35,336.71,3310243.0,57462.0,337.248792
CAT,2025-03-19 04:00:00+00:00,336.93,342.0,336.67,338.62,2407288.0,49388.0,339.009369
CAT,2025-03-20 04:00:00+00:00,334.57,339.7797,333.61,336.25,2782873.0,53369.0,337.098221
CAT,2025-03-21 04:00:00+00:00,331.21,335.95,329.21,335.78,6766101.0,59378.0,334.302304
CAT,2025-03-24 04:00:00+00:00,340.55,343.15,339.29,341.67,2277496.0,47969.0,341.577096
CAT,2025-03-25 04:00:00+00:00,343.58,344.81,340.83,342.62,1678009.0,36999.0,342.900451
CAT,2025-03-26 04:00:00+00:00,343.36,347.27,338.79,341.11,1705089.0,38846.0,341.968238
CAT,2025-03-27 04:00:00+00:00,341.08,341.995,336.63,339.3,1481115.0,35429.0,339.629093
CAT,2025-03-28 04:00:00+00:00,337.0,338.25,328.05,329.69,1965493.0,45509.0,330.208532
CAT,2025-03-31 04:00:00+00:00,325.63,331.98,322.0,329.8,2837768.0,51253.0,328.617797
CAT,2025-04-01 04:00:00+00:00,327.01,332.2087,323.89,330.57,1955410.0,43867.0,329.361453
CAT,2025-04-02 04:00:00+00:00,326.13,336.35,326.1,334.66,1747616.0,41238.0,333.634152
CAT,2025-04-03 04:00:00+00:00,319.67,324.7,305.0,305.76,4638692.0,108256.0,310.067611
CAT,2025-04-04 04:00:00+00:00,285.0,294.2914,281.5013,288.08,7216606.0,148493.0,288.767831
CAT,2025-04-07 04:00:00+00:00,276.0,294.3492,267.3,280.06,7824699.0,138693.0,278.790977
CAT,2025-04-08 04:00:00+00:00,289.89,291.78,268.275,273.94,4988679.0,103527.0,277.616272
CAT,2025-04-09 04:00:00+00:00,270.76,301.8566,269.13,301.01,6456725.0,128661.0,288.891742
CAT,2025-04-10 04:00:00+00:00,296.68,298.27,279.8,289.16,4116825.0,83369.0,288.363996
CAT,2025-04-11 04:00:00+00:00,288.95,295.41,284.14,293.45,3197931.0,64171.0,290.783523
CAT,2025-04-14 04:00:00+00:00,298.67,302.48,295.71,298.12,2758813.0,66997.0,299.071561
